,Votes,UnemploymentRate2015,MedHHInc,PerCapitaInc,PovertyAllAgesPct,DeepPovAll,TotalAreaSqM,PopulationDensitySqM,TotalMaleRate,TotalFemaleRate,VoterTurnoutRate,Democrat,Population,County,State,DominantEducation,DominantReligion,Young,Adult,Old,DominantEthnicMale,DominantEthnicFemale,EstimatePopulation2015Normal,PopulationNormal,MedHHIncNormal,PerCapitaIncNormal,TotalAreaSqMNormal,PopulationDensitySqMNormal,Age
1813,10716,0.040999999999999995,108477.0,50723.0,0.042,0.01848635931,109.26,164.4,0.506887827,0.493112173,0.006025302220000001,1,17950,028,35,bachelor and higher,Christian Generic,0.24441945399999998,0.577509137,0.17807140900000007,White,White,-0.2593311068321935,-0.256427539421859,5.070043937561303,4.6755851715309475,-0.28728063375915297,-0.05667411030240364,Adult
1814,7295,0.17600000000000002,27268.0,15549.0,0.306,0.1128140499,2965.36,8.5,0.500978873,0.499021127,0.0029753650399999996,0,25095,029,35,only high school,Catholic,0.28542295399999995,0.504649644,0.20992740200000004,White,White,-0.23900237995641646,-0.23358644203308654,-1.6430964177364167,-1.4930750750379005,0.4591687059171812,-0.14704601379305252,Adult
1815,20959,0.09699999999999999,29497.0,12800.0,0.358,0.1916614896,5455.28,13.1,0.48011941399999997,0.519880586,0.0027323095399999996,1,71492,031,35,only high school,Catholic,0.34162017000000006,0.5578296920000001,0.10055013799999987,NativeAmerican,NativeAmerican,-0.08142681844642034,-0.08526476316018589,-1.4588361774679905,-1.9751825128561116,1.1099159275995092,-0.14437949194534896,Adult
1816,2434,0.09699999999999999,27627.0,18950.0,0.242,0.041084286319999996,1933.62,2.5,0.52175805,0.47824195,0.00529590949,1,4881,033,35,only high school,Catholic,0.200609225,0.554830286,0.24456048900000008,White,White,-0.29915222353568727,-0.29820644799762763,-1.6134196899408288,-0.8966227665549115,0.1895207097974161,-0.15052408576831802,Adult
1817,19791,0.062,41736.0,19803.0,0.20199999999999999,0.09415444520999999,6627.5,9.6,0.5132686989999999,0.486731301,0.00307495106,0,63797,035,35,college,Catholic,0.264736956,0.572962307,0.16230073699999986,White,White,-0.11870269279787488,-0.10986409757678546,-0.4470994880802528,-0.7470274066207776,1.4162787457625263,-0.14640836726425385,Adult
1818,3567,0.07200000000000001,29069.0,16719.0,0.239,0.07580774061000001,2881.58,3.1,0.48740390299999997,0.5125960970000001,0.00421880544,0,9041,037,35,only high school,Catholic,0.223181549,0.530100533,0.24671791799999993,White,White,-0.28750087094195137,-0.2849077824780624,-1.4942167888788862,-1.287885659887916,0.4372725798438352,-0.15017627857079147,Adult
1819,14795,0.08,34902.0,19483.0,0.24100000000000002,0.1138811479,5896.15,6.9,0.492132269,0.507867731,0.00374889142,1,40246,039,35,college,Catholic,0.262916509,0.564398834,0.1726846569999998,White,White,-0.193873391301695,-0.18515180710834317,-1.012031960935535,-0.8031475885421409,1.2251384759637494,-0.1479734996531233,Adult
1820,5912,0.055,36108.0,17668.0,0.24,0.1269462981,2454.65,8.1,0.503294979,0.496705021,0.0030920502100000003,0,19846,041,35,college,Christian Generic,0.300523012,0.575679916,0.12379707199999997,White,White,-0.2553003849579677,-0.25036641686774946,-0.9123379951375441,-1.121454245377373,0.3256932875963589,-0.14727788525807023,Adult
1821,61146,0.067,56142.0,26916.0,0.126,0.07085728754,3715.94,35.5,0.491240656,0.508759344,0.00438655896,1,131561,043,35,college,Catholic,0.262852059,0.574709098,0.16243884300000008,White,White,0.10783897287022301,0.10676349142990117,0.7437722128201271,0.5004190121500252,0.655334787417921,-0.1313946899043577,Adult
1822,45975,0.07,47520.0,21992.0,0.21,0.1055163694,5538.42,23.6,0.495953241,0.504046759,0.00387200283,0,130044,045,35,college,Christian Generic,0.290414951,0.572247909,0.13733713999999989,White,White,0.045469967809636885,0.10191395402769435,0.03103475584643035,-0.36313028716495205,1.131644787968786,-0.13829286598863433,Adult
